time_us,record_type,payload_length,value_count,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7
3911387,56,32,8,235385,976559,1548883,1780810,1866780,2131860,1610801,1854286
3913283,56,32,8,235820,976349,1548432,1780220,1866179,2131248,1610557,1853778
3915176,56,32,8,236154,976048,1547969,1779629,1865541,2130580,1610339,1853208
3917077,56,32,8,236513,975834,1547502,1779010,1864944,2129908,1610016,1852579
3918972,56,32,8,236892,975596,1547079,1778377,1864294,2129241,1609735,1852029
3920875,56,32,8,237298,975335,1546601,1777784,1863714,2128585,1609498,1851381
3922771,56,32,8,237647,975071,1546144,1777150,1863085,2127935,1609216,1850767
3924666,56,32,8,237992,974845,1545656,1776491,1862434,2127224,1608923,1850181
3926563,56,32,8,238345,974589,1545225,1775841,1861775,2126558,1608606,1849555
3928457,56,32,8,238717,974330,1544735,1775248,1861093,2125883,1608392,1849030
3930361,56,32,8,239122,974115,1544247,1774684,1860540,2125234,1608100,1848442
3932253,56,32,8,239476,973838,1543796,1774069,1859955,2124541,1607867,1847881
3934148,56,32,8,239841,973629,1543346,1773460,1859327,2123934,1607604,1847293
3936043,56,32,8,240232,973335,1542914,1772861,1858700,2123254,1607319,1846680
3937939,56,32,8,240577,973122,1542409,1772236,1858101,2122624,1607020,1846082
3939839,56,32,8,240949,972841,1541959,1771564,1857450,2121897,1606770,1845452
3941735,56,32,8,241299,972569,1541503,1770920,1856851,2121175,1606470,1844878
3943632,56,32,8,241639,972325,1541007,1770258,1856240,2120525,1606183,1844287
3945524,56,32,8,242044,972117,1540573,1769703,1855676,2119985,1606043,1843757
3947420,56,32,8,242432,971856,1540117,1769087,1855097,2119322,1605717,1843221
3949319,56,32,8,242795,971598,1539672,1768498,1854479,2118661,1605489,1842672
3951215,56,32,8,243154,971398,1539234,1768000,1853980,2118145,1605334,1842133
3953113,56,32,8,243551,971205,1538850,1767390,1853383,2117545,1605091,1841628
3955010,56,32,8,243880,970954,1538446,1766864,1852859,2116925,1604860,1841095
3956903,56,32,8,244252,970730,1538043,1766275,1852244,2116306,1604622,1840484
3958797,56,32,8,244632,970502,1537644,1765714,1851675,2115713,1604418,1839957
3960694,56,32,8,245026,970324,1537179,1765083,1851100,2115105,1604120,1839405
3962599,56,32,8,245360,970079,1536735,1764603,1850552,2114537,1603989,1838974
3964485,56,32,8,245766,969884,1536383,1764102,1850048,2113964,1603757,1838484
3966379,56,32,8,246127,969659,1536004,1763576,1849458,2113377,1603599,1837977
3968274,56,32,8,246500,969409,1535520,1762939,1848902,2112757,1603304,1837392
3970171,56,32,8,246833,969160,1535097,1762377,1848280,2112135,1603063,1836848
3972071,56,32,8,247206,968942,1534702,1761830,1847745,2111524,1602841,1836248
3973965,56,32,8,247613,968716,1534264,1761182,1847119,2110905,1602517,1835631
3975859,56,32,8,247924,968471,1533801,1760554,1846472,2110212,1602261,1835062
3977781,56,32,8,248250,968208,1533334,1759912,1845837,2109601,1601979,1834402
3979661,56,32,8,248628,968005,1532901,1759393,1845338,2108990,1601781,1834021
3981560,56,32,8,249012,967826,1532527,1758837,1844815,2108424,1601659,1833503
3983462,56,32,8,249406,967605,1532146,1758331,1844204,2107925,1601392,1833055
3985370,56,32,8,249756,967378,1531734,1757880,1843744,2107329,1601228,1832547
3987270,56,32,8,250131,967187,1531313,1757299,1843133,2106715,1600984,1831987
3989169,56,32,8,250525,966938,1530919,1756625,1842527,2106011,1600670,1831289
3991077,56,32,8,250817,966637,1530434,1756072,1841916,2105407,1600374,1830743
3992975,56,32,8,251140,966396,1529970,1755382,1841299,2104676,1600138,1830167
3994882,56,32,8,251495,966208,1529520,1754842,1840648,2104055,1599782,1829605
3996778,56,32,8,251888,965964,1529096,1754210,1840020,2103491,1599551,1829054
3998676,56,32,8,252284,965786,1528614,1753632,1839462,2102788,1599302,1828517
4000572,56,32,8,252621,965400,1528080,1752955,1838851,2102090,1599070,1827936
4002468,56,32,8,252929,965218,1527661,1752450,1838168,2101573,1598745,1827456
4004373,56,32,8,253333,965057,1527309,1751871,1837618,2100928,1598573,1826880
4006276,56,32,8,253640,964804,1526918,1751309,1837131,2100343,1598365,1826340
4008175,56,32,8,254034,964508,1526473,1750753,1836547,2099828,1598183,1825751
4010081,56,32,8,254414,964439,1526070,1750162,1836001,2099163,1597919,1825276
4011984,56,32,8,254738,964196,1525678,1749640,1835419,2098524,1597640,1824719
4013891,56,32,8,255071,963972,1525306,1749033,1834847,2097893,1597424,1824163
4015789,56,32,8,255411,963665,1524735,1748505,1834285,2097285,1597090,1823621
4017692,56,32,8,255785,963385,1524342,1747860,1833626,2096635,1596906,1823057
4019600,56,32,8,256151,963193,1523869,1747281,1833004,2095956,1596622,1822475
4021495,56,32,8,256516,962961,1523404,1746704,1832456,2095329,1596282,1821851
4023393,56,32,8,256839,962666,1522920,1745989,1831790,2094634,1596030,1821307
4025295,56,32,8,257181,962511,1522563,1745465,1831263,2094046,1595848,1820730
4027193,56,32,8,257482,962278,1522141,1744882,1830717,2093503,1595568,1820262
4029091,56,32,8,257917,962077,1521780,1744388,1830148,2092911,1595395,1819774
4030989,56,32,8,258235,961885,1521273,1743790,1829601,2092313,1595158,1819349
4032897,56,32,8,258626,961692,1520972,1743343,1829130,2091813,1595030,1818823
4034791,56,32,8,258979,961446,1520526,1742809,1828542,2091224,1594782,1818310
4036688,56,32,8,259334,961241,1520165,1742271,1828011,2090634,1594526,1817796
4038598,56,32,8,259722,961066,1519698,1741650,1827434,2090054,1594334,1817263
4040485,56,32,8,260071,960815,1519314,1741123,1826848,2089471,1594066,1816710
4042379,56,32,8,260353,960613,1518926,1740499,1826300,2088821,1593836,1816170
4044273,56,32,8,260773,960375,1518513,1740001,1825765,2088232,1593599,1815634
4046169,56,32,8,261109,960169,1518104,1739470,1825234,2087682,1593457,1815217
4048071,56,32,8,261468,960027,1517684,1738987,1824699,2087150,1593204,1814695
4049966,56,32,8,261800,959774,1517302,1738453,1824162,2086551,1592974,1814211
4051860,56,32,8,262158,959557,1516890,1737920,1823584,2085943,1592784,1813680
4053756,56,32,8,262491,959357,1516509,1737388,1823066,2085368,1592536,1813179
4055655,56,32,8,262870,959157,1516084,1736782,1822472,2084789,1592312,1812633
4057548,56,32,8,263191,958943,1515657,1736233,1821933,2084188,1592097,1812092
4059444,56,32,8,263537,958752,1515244,1735662,1821369,2083623,1591767,1811548
4061338,56,32,8,263882,958493,1514815,1735068,1820802,2082975,1591518,1810986
4063234,56,32,8,264240,958285,1514368,1734476,1820186,2082275,1591325,1810509
4065135,56,32,8,264579,958064,1513950,1733957,1819670,2081818,1591186,1810044
4067031,56,32,8,264884,957888,1513569,1733411,1819047,2081165,1590863,1809523
4068925,56,32,8,265261,957634,1513148,1732816,1818471,2080518,1590572,1808922
4070828,56,32,8,265580,957377,1512651,1732162,1817882,2079890,1590320,1808343
4072724,56,32,8,265921,957164,1512232,1731564,1817251,2079208,1590027,1807735
4074628,56,32,8,266246,956944,1511779,1730967,1816656,2078571,1589697,1807146
4076515,56,32,8,266588,956706,1511344,1730300,1816073,2077882,1589425,1806604
4078411,56,32,8,266942,956464,1510878,1729779,1815440,2077277,1589157,1806020
4080313,56,32,8,267251,956188,1510434,1729154,1814810,2076670,1588897,1805519
4082210,56,32,8,267609,955950,1509987,1728593,1814277,2076050,1588692,1805012
4084111,56,32,8,267941,955710,1509528,1728022,1813640,2075392,1588419,1804412
4086008,56,32,8,268282,955471,1509086,1727407,1813054,2074731,1588119,1803817
4087904,56,32,8,268599,955244,1508639,1726812,1812460,2074066,1587828,1803266
4089800,56,32,8,268946,955012,1508212,1726190,1811816,2073415,1587573,1802655
4091696,56,32,8,269276,954748,1507774,1725569,1811216,2072812,1587248,1802050
4093603,56,32,8,269628,954538,1507322,1725052,1810570,2072167,1586970,1801486
4095491,56,32,8,269978,954296,1506829,1724484,1809969,2071555,1586746,1800959
4097387,56,32,8,270311,954082,1506398,1723912,1809420,2070914,1586443,1800524
4099281,56,32,8,270645,953903,1506002,1723379,1808864,2070384,1586327,1800033
4101176,56,32,8,270995,953658,1505550,1722746,1808312,2069727,1586025,1799503
4103077,56,32,8,271351,953415,1505124,1722151,1807670,2069058,1585760,1798878
4104972,56,32,8,271676,953207,1504703,1721638,1807142,2068532,1585512,1798377
4106875,56,32,8,271999,953018,1504342,1721058,1806592,2067943,1585272,1797820
4108771,56,32,8,272309,952800,1503918,1720511,1806036,2067386,1585043,1797339
4110666,56,32,8,272679,952651,1503500,1720017,1805517,2066744,1584822,1796814
4112563,56,32,8,273006,952404,1503112,1719456,1805022,2066222,1584615,1796385
4114457,56,32,8,273367,952226,1502714,1718948,1804407,2065678,1584407,1795904
4116361,56,32,8,273695,952046,1502344,1718476,1803975,2065084,1584236,1795441
4118253,56,32,8,274059,951827,1501930,1717919,1803369,2064564,1584024,1794949
4120148,56,32,8,274367,951637,1501535,1717360,1802885,2064001,1583781,1794432
4122043,56,32,8,274743,951429,1501157,1716834,1802340,2063394,1583505,1793894
4123939,56,32,8,275076,951201,1500698,1716285,1801727,2062797,1583288,1793357
4125839,56,32,8,275394,950970,1500315,1715695,1801210,2062215,1583094,1792841
4127735,56,32,8,275719,950814,1499942,1715181,1800666,2061666,1582853,1792382
4129632,56,32,8,276115,950590,1499551,1714667,1800160,2061113,1582664,1791927
4131524,56,32,8,276460,950415,1499136,1714150,1799628,2060524,1582406,1791408
4133420,56,32,8,276730,950197,1498740,1713656,1799144,2060014,1582245,1790973
4135319,56,32,8,277118,950022,1498347,1713151,1798582,2059448,1582045,1790448
4137215,56,32,8,277429,949777,1497937,1712597,1798002,2058839,1581767,1789925
4139113,56,32,8,277731,949597,1497534,1712084,1797456,2058286,1581535,1789384
4141008,56,32,8,278070,949393,1497131,1711471,1796957,2057686,1581274,1788864
4142904,56,32,8,278401,949193,1496710,1710950,1796358,2057108,1581042,1788374
4144800,56,32,8,278720,949009,1496325,1710407,1795860,2056565,1580874,1787908
4146696,56,32,8,279054,948827,1495935,1709788,1795354,2056008,1580646,1787443
4148603,56,32,8,279449,948642,1495511,1709339,1794848,2055464,1580466,1786975
4150492,56,32,8,279729,948459,1495106,1708764,1794306,2054920,1580248,1786498
4152388,56,32,8,280088,948202,1494716,1708325,1793789,2054336,1580014,1785968
4154282,56,32,8,280389,948042,1494308,1707744,1793174,2053703,1579755,1785465
4156176,56,32,8,280714,947812,1493952,1707200,1792625,2053155,1579504,1784870
4158077,56,32,8,281072,947621,1493549,1706637,1792058,2052527,1579240,1784350
4159973,56,32,8,281352,947441,1493139,1706061,1791473,2051857,1578955,1783819
4161877,56,32,8,281668,947189,1492707,1705496,1790911,2051291,1578693,1783293
4163773,56,32,8,281997,946968,1492239,1704934,1790308,2050671,1578482,1782774
4165669,56,32,8,282338,946746,1491861,1704339,1789769,2050083,1578215,1782282
4167564,56,32,8,282640,946510,1491421,1703774,1789168,2049442,1577892,1781680
4169456,56,32,8,283000,946283,1490942,1703204,1788565,2048809,1577675,1781111
4171353,56,32,8,283298,946078,1490479,1702596,1787983,2048175,1577364,1780573
4173255,56,32,8,283602,945858,1490048,1701995,1787428,2047516,1577069,1779938
4175143,56,32,8,283913,945571,1489627,1701393,1786756,2046893,1576767,1779445
4177044,56,32,8,284200,945372,1489225,1700722,1786166,2046221,1576468,1778853
4178941,56,32,8,284556,945154,1488787,1700247,1785610,2045711,1576295,1778322
4180843,56,32,8,284848,944909,1488238,1699693,1785002,2045056,1575988,1777833
4182742,56,32,8,285175,944714,1487858,1699102,1784494,2044449,1575788,1777329
4184644,56,32,8,285542,944501,1487460,1698514,1783843,2043827,1575513,1776749
4186543,56,32,8,285835,944235,1487005,1697933,1783256,2043188,1575197,1776172
4188444,56,32,8,286170,944056,1486570,1697360,1782740,2042553,1574963,1775680
4190352,56,32,8,286557,943890,1486152,1696832,1782158,2041987,1574716,1775207
4192260,56,32,8,286775,943666,1485850,1696288,1781636,2041449,1574461,1774678
4194159,56,32,8,287135,943478,1485381,1695824,1781099,2040881,1574324,1774189
4196062,56,32,8,287428,943271,1485027,1695250,1780639,2040322,1574042,1773733
4197963,56,32,8,287799,943103,1484632,1694773,1780109,2039857,1573862,1773291
4199863,56,32,8,288146,942933,1484252,1694261,1779571,2039258,1573604,1772799
4201766,56,32,8,288443,942706,1483846,1693820,1779072,2038700,1573418,1772356
4203667,56,32,8,288728,942531,1483420,1693156,1778517,2038185,1573148,1771823
4205570,56,32,8,289135,942367,1483060,1692699,1777988,2037594,1572962,1771277
4207469,56,32,8,289440,942044,1482668,1692099,1777459,2036925,1572636,1770734
4209373,56,32,8,289675,941856,1482200,1691517,1776830,2036236,1572356,1770154
4211277,56,32,8,290007,941638,1481722,1690909,1776193,2035640,1572122,1769657
4213177,56,32,8,290302,941361,1481354,1690307,1775728,2035056,1571797,1769109
4215082,56,32,8,290664,941214,1480900,1689889,1775130,2034448,1571585,1768685
4216979,56,32,8,290973,940918,1480431,1689244,1774533,2033814,1571322,1768156
4218881,56,32,8,291267,940736,1480043,1688689,1773952,2033198,1571033,1767524
4220774,56,32,8,291613,940573,1479619,1688117,1773386,2032588,1570732,1766991
4222669,56,32,8,291873,940318,1479168,1687499,1772765,2031950,1570450,1766402
4224564,56,32,8,292185,940078,1478756,1686853,1772176,2031255,1570134,1765809
4226458,56,32,8,292499,939883,1478292,1686277,1771509,2030601,1569869,1765287
4228359,56,32,8,292831,939681,1477873,1685741,1771007,2029925,1569583,1764746
4230255,56,32,8,293140,939447,1477441,1685167,1770434,2029370,1569355,1764226
4232150,56,32,8,293432,939230,1477003,1684596,1769873,2028780,1569097,1763740
4234045,56,32,8,293729,939026,1476630,1684130,1769407,2028246,1568906,1763294
4235940,56,32,8,294062,938791,1476217,1683536,1768776,2027601,1568604,1762694
4237841,56,32,8,294382,938600,1475839,1683032,1768270,2027035,1568363,1762184
4239735,56,32,8,294691,938420,1475455,1682469,1767696,2026455,1568115,1761718
4241639,56,32,8,294982,938232,1475084,1681924,1767152,2025916,1567893,1761180
4243534,56,32,8,295343,938069,1474672,1681394,1766662,2025356,1567676,1760734
4245428,56,32,8,295645,937846,1474276,1680900,1766129,2024816,1567455,1760301
4247326,56,32,8,295985,937638,1473926,1680410,1765646,2024304,1567269,1759825
4249219,56,32,8,296290,937499,1473503,1679883,1765111,2023722,1567043,1759336
4251118,56,32,8,296584,937322,1473120,1679351,1764542,2023171,1566808,1758903
4253013,56,32,8,296908,937109,1472722,1678845,1764059,2022624,1566563,1758424
4254908,56,32,8,297222,936878,1472352,1678296,1763572,2022059,1566347,1757862
4256802,56,32,8,297518,936688,1471911,1677700,1762931,2021436,1566031,1757325
4258696,56,32,8,297792,936463,1471463,1677054,1762354,2020836,1565800,1756794
4260603,56,32,8,298151,936273,1471050,1676588,1761838,2020258,1565546,1756284
4262491,56,32,8,298431,936072,1470668,1676046,1761245,2019614,1565297,1755797
4264387,56,32,8,298770,935841,1470257,1675503,1760724,2019018,1565034,1755282
4266281,56,32,8,299043,935638,1469798,1674943,1760109,2018433,1564740,1754780
4268177,56,32,8,299358,935445,1469385,1674368,1759546,2017831,1564497,1754241
4270077,56,32,8,299623,935225,1468925,1673762,1758971,2017176,1564211,1753706
4271971,56,32,8,299954,935020,1468519,1673252,1758363,2016526,1563905,1753075
4273867,56,32,8,300237,934763,1468090,1672617,1757798,2015939,1563644,1752532
4275762,56,32,8,300547,934556,1467610,1672031,1757184,2015262,1563305,1752044
4277661,56,32,8,300849,934297,1467208,1671443,1756605,2014663,1563063,1751501
4279555,56,32,8,301102,934096,1466757,1670917,1756100,2014130,1562846,1751100
4281450,56,32,8,301458,933900,1466382,1670376,1755597,2013566,1562658,1750655
4283350,56,32,8,301743,933742,1465994,1669966,1755073,2013093,1562472,1750175
4285245,56,32,8,302099,933584,1465612,1669459,1754616,2012517,1562202,1749700
4287141,56,32,8,302417,933402,1465229,1668883,1754072,2011975,1561976,1749235
4289037,56,32,8,302722,933200,1464839,1668367,1753534,2011394,1561722,1748692
4290933,56,32,8,302982,933007,1464376,1667809,1752974,2010819,1561514,1748186
4292834,56,32,8,303296,932803,1464091,1667271,1752483,2010313,1561280,1747716
4294730,56,32,8,303633,932662,1463699,1666765,1751934,2009767,1561052,1747256
4296628,56,32,8,303917,932425,1463307,1666240,1751414,2009218,1560822,1746817
4298515,56,32,8,304246,932290,1462947,1665733,1750921,2008694,1560602,1746390
4300411,56,32,8,304524,932103,1462566,1665291,1750407,2008194,1560451,1745971
4302311,56,32,8,304818,931914,1462155,1664756,1749879,2007599,1560186,1745448
4304205,56,32,8,305131,931731,1461806,1664237,1749382,2007062,1559946,1744911
4306099,56,32,8,305458,931544,1461400,1663671,1748854,2006498,1559726,1744426
4307995,56,32,8,305733,931358,1461012,1663164,1748329,2005950,1559447,1743969
4309897,56,32,8,306067,931169,1460601,1662627,1747765,2005361,1559245,1743453
4311793,56,32,8,306368,930990,1460268,1662109,1747284,2004797,1559012,1743030
4313688,56,32,8,306699,930798,1459872,1661615,1746764,2004318,1558742,1742507
4315586,56,32,8,306956,930597,1459458,1661079,1746196,2003690,1558495,1741980
4317482,56,32,8,307257,930374,1459034,1660523,1745669,2003128,1558270,1741477
4319377,56,32,8,307567,930159,1458598,1659945,1745062,2002516,1557886,1740959
4321273,56,32,8,307822,929965,1458191,1659398,1744515,2001891,1557681,1740410
4323168,56,32,8,308121,929722,1457727,1658779,1743902,2001202,1557332,1739826
4325066,56,32,8,308390,929541,1457314,1658173,1743339,2000592,1557049,1739312
4326960,56,32,8,308676,929340,1456863,1657628,1742742,2000074,1556852,1738843
4328855,56,32,8,308980,929157,1456507,1657149,1742282,1999533,1556663,1738414
4330751,56,32,8,309315,928975,1456169,1656658,1741767,1999007,1556417,1737914
4332655,56,32,8,309620,928719,1455701,1656107,1741155,1998394,1556186,1737455
4334551,56,32,8,309900,928552,1455262,1655555,1740629,1997815,1555943,1736977
4336446,56,32,8,310209,928330,1454865,1655035,1740108,1997244,1555723,1736483
4338350,56,32,8,310494,928163,1454470,1654508,1739564,1996704,1555499,1736023
4340245,56,32,8,310820,927983,1454089,1653985,1739099,1996146,1555236,1735523
4342140,56,32,8,311099,927822,1453764,1653417,1738523,1995576,1555005,1735001
4344036,56,32,8,311419,927628,1453354,1652953,1738000,1995039,1554810,1734595
4345932,56,32,8,311679,927483,1452899,1652437,1737502,1994485,1554599,1734122
4347834,56,32,8,312029,927236,1452538,1651966,1736993,1993971,1554371,1733713
4349729,56,32,8,312308,927103,1452188,1651474,1736534,1993478,1554160,1733248
4351628,56,32,8,312618,926906,1451807,1650979,1736039,1992917,1553946,1732758
4353516,56,32,8,312886,926731,1451424,1650445,1735449,1992320,1553712,1732256
4355410,56,32,8,313199,926525,1451065,1649893,1735007,1991808,1553463,1731810
4357311,56,32,8,313492,926348,1450656,1649385,1734437,1991246,1553232,1731281
4359207,56,32,8,313806,926209,1450299,1648841,1733907,1990644,1552984,1730797
4361100,56,32,8,314077,925988,1449904,1648370,1733377,1990139,1552754,1730368
4362995,56,32,8,314420,925846,1449549,1647877,1732879,1989623,1552513,1729929
